ID,QC1,QC2,QC3,QC4,QC5
2Q14520,91198.31753,62113.24767,55354.29995,0,83051.38942
2Q14554,296316.8615,344455.8268,446321.4254,317023.4655,111257.9813
2Q14624,480935.6624,356852.7616,305669.1087,133802.8005,36207.79743
2Q14683,29234.64514,0,41884.545,0,0
2Q14696,249693.5054,427029.6637,196051.3221,256074.3888,411528.048
2Q14697,1799111.794,1562778.277,2742054.064,2472024.845,1197370.106
2Q14764,711977.7191,943105.285,1074451.013,1438855.386,875635.4469
2Q14956,204723.6093,168301.2038,629032.6384,142878.3964,198240.6422
2Q14974,291230.1027,427828.9054,131979.4575,412883.0328,360607.0267
2Q14980,40183.28778,121311.0004,0,56997.45819,55623.36919
2Q15005,504558.0223,476408.905,672468.4628,867952.8754,971106.5062
2Q15019,184966.3434,263020.0406,360630.0006,175186.1599,286441.2852
2Q15029,145293.8378,0,0,149238.1033,101233.0516
2Q15041,129970.372,316786.4243,0,134753.3617,99462.293
2Q15046,0,62775.22835,0,36475.52156,112719.5598
2Q15056,47135.1914,0,0,0,0
2Q15075,153392.6318,0,149575.5264,180527.4084,256938.0109
2Q15084,1096970.582,1368962.148,1414123.095,2384890.072,3439956.245
2Q15113,86472.79237,304893.3593,123404.9504,244758.1844,110246.1192
2Q15121,35873.76049,35433.34125,0,57178.51746,32829.30244
2Q15124,85508.09858,0,0,47917.3358,206766.517
2Q15149,11112935.46,12546358.26,11428503.66,11228616.95,10572084.72
2Q15155,164966.8509,153871.415,0,0,52634.62847
2Q15181,246386.5857,321434.1889,370250.6155,259310.8232,267993.5408
2Q15185,124304.3757,0,0,84760.63399,152669.3731
2Q15233,220131.3278,381134.0739,362248.3383,723592.0562,872337.5261
2Q15257,300287.2715,52388.56034,78536.76302,261098.7835,203777.7763
2Q15363,376472.8052,279526.1206,132113.5739,0,96304.9086
2Q15365,554899.0302,128591.0504,569583.3183,481730.8202,536980.2054
2Q15366,133877.5925,314979.4429,103502.0798,216999.5351,146092.2697
2Q15393,224554.5963,158328.0566,392558.6398,364743.8993,353261.6576
2Q15404,71879.16588,71806.66032,163255.397,250257.8597,70861.26231
2Q15417,121460.846,191235.9676,0,86760.20731,131073.6133
2Q15435,99581.46445,78172.79474,72705.38288,67157.14647,0
2Q15436,320992.3806,169439.2546,291944.5327,432358.2205,255185.9904
2Q15459,168136.86,83786.59941,0,0,209802.1032
2Q15582,1842607.268,2123637.499,1465623.784,1467485.383,2062699.55
2Q15631,156394.1354,229347.6375,62920.25191,51179.79752,165401.9707
2Q15661,761813.2105,652077.0329,1000239.951,577918.5573,993873.4025
2Q15717,102304.934,221138.0346,68778.45532,154104.0712,136254.7218
2Q15738,59669.89173,0,0,0,0
2Q15746,55533.08255,0,66724.68651,58770.70741,90224.36714
2Q15836,438008.895,0,0,309249.2331,297899.6862
2Q15843,127232.1582,46054.56934,99058.35715,45509.24751,48778.30973
2Q15904,61016.8823,109235.4998,129601.1271,0,0
2Q15907,578373.9479,573151.9084,653942.5204,722550.9654,702513.3434
2Q16181,619510.3447,537168.6541,748968.4451,249273.3499,516649.2733
2Q16363,30056.10929,0,0,31353.80746,22524.23687
2Q16401,49401.58991,0,0,0,227303.5692
2Q16531,123030.0532,33799.23933,119712.2794,184748.3526,252468.9534
2Q16543,0,60744.98051,101213.1603,0,0
2Q16555,1135937.471,804289.1525,1256312.823,492153.0444,1288156.619
2Q16576,56595.72014,0,107346.7493,0,0
2Q16629,106579.7071,100270.0921,0,0,101776.459
2Q16630,43796.67686,0,0,0,40019.14453
2Q16658,296411.6458,371769.0454,263511.8604,407632.3139,179277.5976
2Q16666,169663.9408,193790.0663,73662.97383,216546.8869,381153.448
2Q16678,472310.2888,531843.2715,218806.4009,238500.3234,351818.8173
2Q16698,463274.1832,321060.6302,798305.3902,627426.9515,869320.6781
2Q16719,85510.2049,0,0,0,0
2Q16775,26944.02397,51439.02638,44066.17142,23592.02288,64500.58496
2Q16777,2933785.474,0,0,0,0
2Q16778,1702853.047,1657384.177,141403.3684,1916738.697,95358.6302
2Q16795,124314.9073,0,174217.1756,178286.7999,328264.9171
2Q16799,219552.0902,321321.2526,258478.0257,260204.8034,365375.8951
2Q16836,84942.55211,455098.687,183399.677,0,0
2Q16851,804539.8777,1061514.69,791027.3414,1385103.415,585699.4899
2Q16853,1407968.482,1054043.517,1351356.63,1524632.215,656942.0743
2Q16891,776757.539,613296.4324,490499.3605,528591.2225,520846.627
2Q1KMD3,423780.7147,147190.7963,654058.7546,423441.0514,170358.221
2Q29974,432195.4564,0,219405.4541,213378.3497,0
2Q2VIR3,204197.0297,373054.7822,233881.0819,129117.8919,226956.9127
2Q30154,236507.9527,392149.7105,0,0,163893.5467
2Q32P28,138290.3294,123083.2321,131049.584,87135.90529,32993.26157
2Q3LXA3,49835.49149,0,0,52534.34718,61494.04296
2Q3MIX3,251662.9131,0,348613.1731,0,367811.8593
2Q4KWH8,461209.9913,0,457354.7328,259627.6769,230788.8718
2Q53FA7,23962.53039,26930.10384,38422.55422,88043.46488,63757.61587
2Q53GQ0,450372.9835,311295.9808,192206.6525,310686.3911,534740.9922
2Q53TN4,153834.9586,136765.9037,57146.09476,184714.404,0
2Q5EG05,56933.78423,0,0,0,0
2Q5JTV8,173729.1352,64958.37461,0,173330.3024,79625.11205
2Q5KU26,232537.5427,158536.5544,256877.5703,290464.3338,79931.4814
2Q5NE16,103290.691,125698.1427,0,112372.1727,145623.815
2Q5SSJ5,573013.3678,725546.4636,601860.6601,236372.8769,252215.9879
2Q5SYB0,85627.10557,73207.07089,45693.45015,43685.07536,0
2Q5T2N8,24584.94745,49168.13727,41294.43293,0,0
2Q5TDP6,66092.05629,0,0,55880.54881,0
2Q5VTE0,2548961.117,2040151.484,4724204.727,2873071.128,2043305.528
2Q5XKP0,58828.41756,327880.2475,151989.6212,138057.6934,128047.3962
2Q63ZY3,63919.38895,82098.63555,132989.8009,78193.8406,23849.96355
2Q66K74,84525.50108,0,0,0,81337.78228
2Q687X5,330502.4078,568521.5186,408098.2575,165963.4533,474347.8177
2Q6AZY7,49056.15371,38188.11912,29628.09622,0,0
2Q6DD88,351744.6281,717545.3585,502784.4207,647920.5976,473364.0629
2Q6IBS0,396082.6288,143377.0231,300957.1533,246761.1526,295997.7602
