Majority protein IDs,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
P28676,167040000,230740000,220750000,239690000,238470000,238770000,211430000,209320000
P28838,669770000,493250000,567880000,519060000,556690000,652190000,562200000,633120000
P29083,161880000,190300000,163190000,155420000,122570000,220880000,238520000,123760000
P29084,314720000,189650000,285750000,261100000,250450000,259950000,245970000,248450000
P29144,257200000,285090000,249510000,211080000,317740000,232960000,253400000,268010000
P29218,1536200000,1430000000,1499100000,1545400000,1542300000,1517900000,1354500000,1474900000
P29317,581700000,532580000,548930000,626710000,587960000,611420000,551710000,644610000
P29350,245910000,199100000,144540000,158990000,182570000,227750000,255500000,239400000
P29353,129670000,131420000,122820000,0,136860000,123710000,122250000,168230000
P29372,0,0,0,0,0,0,0,39428000
P29373,6591500000,6483300000,6760600000,6441600000,7697400000,7651700000,7055000000,7445600000
P29401,28537000000,29502000000,26552000000,24210000000,30745000000,30099000000,29029000000,29964000000
P29590,0,0,0,0,0,0,0,0
P29692,8848500000,11051000000,10245000000,8557900000,9712700000,9011400000,8918500000,9764300000
P29966,184090000,314070000,302580000,302370000,105260000,129980000,117000000,171420000
P29992,952620000,846130000,863210000,875250000,883640000,830180000,834240000,738370000
P30038,154160000,147390000,137300000,135240000,138020000,158270000,132190000,131110000
P30040,1332700000,1330000000,1621200000,1475400000,1768500000,1649700000,1638700000,1569900000
P30041,17113000000,15369000000,15976000000,16439000000,18814000000,17949000000,17115000000,16529000000
P30043,5405600000,5726600000,5803800000,6691500000,5066900000,5678000000,6208900000,5912500000
P30044,5460900000,5424000000,5284700000,5377300000,5990500000,6179000000,4948500000,4743200000
P30046,2841000000,1890000000,1969700000,1654300000,2278200000,1816500000,1855100000,1636200000
P30048,7780900000,8749800000,7429900000,7514600000,7546900000,7558800000,6744400000,7037500000
P30049,1272800000,1594400000,1575400000,1588100000,1752100000,2125200000,1569500000,1649800000
P30050,7173600000,8507600000,7814200000,8093500000,7697400000,7743300000,7753800000,7912400000
P30084,1184400000,1304100000,1069400000,987130000,1004400000,1050000000,1010600000,1036800000
P30085,2645000000,2078700000,2139900000,2053000000,2351300000,2335900000,2055300000,2062600000
P30086,7111200000,7357400000,6932000000,7103400000,5753400000,6521100000,6441500000,6297000000
P30101,19668000000,18995000000,19523000000,19525000000,18584000000,20596000000,19899000000,20575000000
P30153,8865800000,8469300000,7277700000,6739600000,8767500000,8236300000,7498600000,8640300000
P30154,235990000,167810000,150840000,150210000,238950000,218430000,192220000,204980000
P30405,159800000,190710000,181320000,159560000,338680000,112960000,137430000,377550000
P30419,987160000,926790000,935520000,885800000,981910000,1101200000,976650000,984860000
P30455,778080000,1114000000,1093800000,1220000000,840970000,974550000,1119100000,905470000
P30466,68229000,295860000,273190000,292400000,107580000,280280000,0,213380000
P30479,0,0,279650000,0,0,0,110600000,0
P30483,0,0,0,0,0,0,237120000,0
P30505,0,0,0,0,0,0,0,0
P30508,198210000,330240000,337240000,312260000,241450000,286700000,302810000,408950000
P30519,1045300000,1070200000,1156500000,1122300000,1295700000,1306300000,1128900000,1161300000
P30520,3241000000,2985200000,3207200000,3234700000,3063600000,3302000000,3274200000,3176500000
P30533,344610000,417300000,457830000,416700000,439260000,443120000,393280000,493800000
P30536,0,0,0,0,0,0,0,76279000
P30566,2892000000,2204400000,2440300000,2135400000,2297500000,2811300000,2259100000,2372600000
P30622,0,0,0,0,0,0,0,0
P30626,734390000,864910000,857220000,975780000,889120000,844890000,812780000,804480000
P30740,2175100000,2384600000,2272900000,2273300000,2254200000,2474400000,2232300000,2179200000
P30837,1541900000,1375500000,1513600000,1663400000,1607000000,1555600000,1478500000,1412400000
P30876,588810000,529590000,437740000,418500000,597350000,411720000,446100000,506780000
P30989,0,0,0,0,0,0,0,5225700
P31040,3768400000,4292700000,4506200000,4565000000,4186200000,4794800000,4190900000,4180600000
P31146,76421000,55992000,59214000,51043000,41109000,59808000,67490000,67576000
P31150,2238300000,2091200000,2318800000,2306300000,1641500000,2232600000,2086400000,2135600000
P31151,0,0,0,0,0,0,0,0
P31153,4597300000,4247900000,4198600000,4436200000,4695700000,4210600000,4106400000,3984900000
P31323,23930000,0,0,19082000,0,20408000,0,22114000
